ticker,exchange,assetType,priceCurrency,startDate,endDate
TEIEX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEIHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEIIX,NMFQS,Mutual Fund,USD,2009-01-02,2018-07-03
TEIMX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEIWX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TEIXX,NMFQS,Mutual Fund,USD,,
TEK,,Stock,USD,,
TEKCQ,NASDAQ,Stock,USD,,
TEKI,OTCMKTS,Stock,USD,2017-10-13,2020-06-29
TEKXF,OTCMKTS,Stock,USD,2017-07-10,2020-03-04
TEL,NYSE,Stock,USD,2007-06-14,2020-06-29
TEL-19,NYSE,Stock,USD,,
TEL-25,NYSE,Stock,USD,,
TEL1,,Stock,USD,,
TELA,NASDAQ,Stock,USD,2019-11-08,2020-06-29
TELC,,Stock,USD,,
TELCX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TELDF,PINK,Stock,USD,2014-01-31,2020-06-29
TELK,,Stock,USD,,
TELL,NASDAQ,Stock,USD,1995-08-18,2020-06-29
TELLF,OTCBB,Stock,USD,2007-07-13,2019-12-10
TELM,NASDAQ,Stock,USD,,
TELNF,PINK,Stock,USD,2007-07-16,2020-06-29
TELNY,PINK,Stock,USD,2007-07-13,2020-06-29
TELOZ,PINK,Stock,USD,2011-01-03,2017-07-10
TELTQ,PINK,Stock,USD,2011-02-24,2012-02-21
TELVQ,NASDAQ,Stock,USD,,
TELWX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TEMAX,NMFQS,Mutual Fund,USD,2010-01-04,2019-12-03
TEMBX,NMFQS,Mutual Fund,USD,2000-03-15,2016-06-06
TEMCX,NMFQS,Mutual Fund,USD,2001-03-15,2016-06-06
TEMEX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEMFX,NMFQS,Mutual Fund,USD,1990-01-02,2020-06-29
TEMGX,NMFQS,Mutual Fund,USD,1990-01-02,2020-06-29
TEMHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEMIX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEMLX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEMMX,NMFQS,Mutual Fund,USD,2007-01-03,2020-06-29
TEMPA,,Stock,USD,,
TEMPF,OTCGREY,Stock,USD,2017-08-24,2020-06-29
TEMPX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEMQX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEMRF,OTCGREY,Stock,USD,,
TEMRX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEMSX,NMFQS,Mutual Fund,USD,2011-01-03,2020-06-29
TEMTX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEMUX,NMFQS,Mutual Fund,USD,1995-01-03,2020-06-29
TEMVX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TEMWX,NMFQS,Mutual Fund,USD,1990-01-02,2020-06-29
TEMYX,NMFQS,Mutual Fund,USD,2010-01-04,2019-12-03
TEMZX,NMFQS,Mutual Fund,USD,2007-01-03,2020-06-29
TEN,NYSE,Stock,USD,1982-01-04,2020-06-29
TENB,NASDAQ,Stock,USD,2018-07-26,2020-06-29
TENEX,NMFQS,Mutual Fund,USD,,
TENF,NASDAQ,Stock,USD,,
TENG,PINK,Stock,USD,1998-07-07,2019-07-08
